scenario,mode,pair,side,ms,instructions
bmp_rotate,plain,1,before,471.0,3705233945
bmp_rotate,plain,1,after,328.0,3671639992
bmp_rotate,plain,2,after,221.0,3671606118
bmp_rotate,plain,2,before,226.0,3705237249
bmp_rotate,plain,3,before,230.0,3705230050
bmp_rotate,plain,3,after,219.0,3671607722
bmp_rotate,plain,4,after,227.0,3671608736
bmp_rotate,plain,4,before,223.0,3705210584
bmp_rotate,plain,5,before,235.0,3705217278
bmp_rotate,plain,5,after,225.0,3671620282
bmp_rotate,optimize,1,before,178.0,3372758821
bmp_rotate,optimize,1,after,176.0,3339153260
bmp_rotate,optimize,2,after,187.0,3339163593
bmp_rotate,optimize,2,before,180.0,3372757344
bmp_rotate,optimize,3,before,180.0,3372783036
bmp_rotate,optimize,3,after,174.0,3339157668
bmp_rotate,optimize,4,after,172.0,3339151278
bmp_rotate,optimize,4,before,181.0,3372777991
bmp_rotate,optimize,5,before,179.0,3372752622
bmp_rotate,optimize,5,after,173.0,3339171367
json_write,plain,1,before,256.0,3412743476
json_write,plain,1,after,498.0,3412732033
json_write,plain,2,after,442.0,3412720381
json_write,plain,2,before,592.0,3412784829
json_write,plain,3,before,507.0,3412858922
json_write,plain,3,after,589.0,3412718131
json_write,plain,4,after,633.0,3412706150
json_write,plain,4,before,531.0,3412719256
json_write,plain,5,before,732.0,3412701315
json_write,plain,5,after,549.0,3412694684
json_write,optimize,1,before,979.0,3414546729
json_write,optimize,1,after,622.0,3414539071
json_write,optimize,2,after,599.0,3414547395
json_write,optimize,2,before,656.0,3414571181
json_write,optimize,3,before,610.0,3414631786
json_write,optimize,3,after,574.0,3414554369
json_write,optimize,4,after,859.0,3414554069
json_write,optimize,4,before,707.0,3414618323
json_write,optimize,5,before,1008.0,3414654973
json_write,optimize,5,after,821.0,3414557350
xml_parse,plain,1,before,2040.0,11950752039
xml_parse,plain,1,after,2115.0,11950746350
xml_parse,plain,2,after,1924.0,11950777440
xml_parse,plain,2,before,1746.0,11950814166
xml_parse,plain,3,before,1626.0,11950768429
xml_parse,plain,3,after,1725.0,11950761947
xml_parse,plain,4,after,1846.0,11950778793
xml_parse,plain,4,before,1824.0,11950837736
xml_parse,plain,5,before,1941.0,11950796404
xml_parse,plain,5,after,1862.0,11951470550
xml_parse,optimize,1,before,1800.0,11650378712
xml_parse,optimize,1,after,2109.0,11650437032
xml_parse,optimize,2,after,1714.0,11650430432
xml_parse,optimize,2,before,1080.0,11650483800
xml_parse,optimize,3,before,927.0,11650401856
xml_parse,optimize,3,after,836.0,11650406049
xml_parse,optimize,4,after,866.0,11651159961
xml_parse,optimize,4,before,846.0,11651079498
xml_parse,optimize,5,before,847.0,11650401565
xml_parse,optimize,5,after,852.0,11650435488
xml_write,plain,1,before,350.0,3894450643
xml_write,plain,1,after,305.0,3893745455
xml_write,plain,2,after,313.0,3894396405
xml_write,plain,2,before,307.0,3895095054
xml_write,plain,3,before,333.0,3895924375
xml_write,plain,3,after,312.0,3894484870
xml_write,plain,4,after,305.0,3894421369
xml_write,plain,4,before,308.0,3895157823
xml_write,plain,5,before,310.0,3895857090
xml_write,plain,5,after,327.0,3893728740
xml_write,optimize,1,before,307.0,3893090314
xml_write,optimize,1,after,304.0,3892475001
xml_write,optimize,2,after,312.0,3892395399
xml_write,optimize,2,before,338.0,3892380964
xml_write,optimize,3,before,315.0,3892486721
xml_write,optimize,3,after,306.0,3892488940
xml_write,optimize,4,after,325.0,3893832353
xml_write,optimize,4,before,328.0,3892413687
xml_write,optimize,5,before,308.0,3893901958
xml_write,optimize,5,after,309.0,3893907077
