scenario	mode	instr_median	instr_min	instr_max	cycles_median	cycles_min	cycles_max	ms_median	ms_min	ms_max
bmp_rotate	interp	0.458097	0.456401	0.458578	1.557763	-7.082081	3.420764	1.630435	-7.281553	3.804348
bmp_rotate	jit	2.506732	2.505442	2.507184	2.056360	-6.161520	4.632550	1.639344	-6.439394	7.234043
call_overhead	interp	4.220817	4.220520	4.221370	3.764641	-0.529906	7.374206	3.508772	0.840336	8.620690
call_overhead	jit	-1.254564	-1.255412	-1.253077	0.969236	-4.249687	2.433180	1.481481	-5.109489	2.255639
cbr_rates	interp	0.277866	-0.064941	0.487511	0.635671	0.262512	1.684398	-0.155925	-15.642458	17.307692
cbr_rates	jit	0.561271	0.034592	0.704615	1.308585	-1.212474	2.235871	-0.155844	-0.415369	0.890985
csv_write	interp	0.062873	0.062618	0.062957	0.347127	-7.645907	3.022414	0.219058	-7.817259	2.882483
csv_write	jit	2.559916	2.559602	2.559940	4.916397	2.786954	16.300664	4.699739	2.613240	16.216216
csv_write_batched	interp	1.024596	1.020718	1.026709	1.221705	-0.733983	4.072604	0.000000	-2.272727	2.380952
csv_write_batched	jit	1.594274	1.591827	1.595372	1.300274	-1.926992	4.301522	0.000000	-4.081633	6.666667
edata_writer	interp	-0.285055	-0.414885	-0.138920	-0.722676	-3.320813	2.324072	0.000000	-1.369863	1.428571
edata_writer	jit	0.287804	0.222760	0.432378	0.783823	-0.725022	3.972851	1.333333	-1.333333	4.054054
empty_for	interp	9.055096	9.050145	9.060495	24.177009	6.513804	26.047004	45.454545	14.285714	45.454545
empty_for	jit	9.053597	9.047214	9.065137	17.963957	12.303385	21.368542	25.000000	25.000000	45.454545
goto_bench	interp	4.643046	4.642862	4.643142	7.005614	5.697989	8.263217	7.534247	5.720824	8.391608
goto_bench	jit	0.003356	0.003127	0.003522	1.635780	0.890679	2.960584	1.345291	1.321586	3.555556
invoice_doc_generator	interp	-0.107134	-0.192005	0.069341	-0.218123	-0.963766	0.446810	-0.031056	-0.601411	0.946746
invoice_doc_generator	jit	0.017720	-0.085837	0.117601	0.213876	-0.315161	0.721335	0.344340	-0.571674	1.356350
json_parse	interp	-0.039666	-0.071653	0.020360	0.812672	-1.626939	2.620321	0.829876	-1.224490	4.602510
json_parse	jit	0.715675	0.663006	0.752879	2.635010	-1.435123	4.960253	1.260504	-0.421941	3.781513
json_write	interp	-0.253372	-0.256707	-0.247346	0.636352	-0.301260	1.753318	1.244813	-0.823045	2.500000
json_write	jit	1.067134	1.064666	1.069899	2.105183	-5.805901	7.299725	1.838235	-5.119454	7.380074
pi_leibniz	interp	0.658799	0.657766	0.659428	-2.674656	-5.530385	3.984571	-2.604167	-5.102041	4.278075
pi_leibniz	jit	0.003812	0.002938	0.004470	0.276238	-2.689245	2.832923	0.645161	-3.703704	2.631579
pi_leibniz_15	interp	0.424451	0.423685	0.425084	-2.063728	-5.431425	-0.492803	-1.845018	-6.007067	-0.373134
pi_leibniz_15	jit	-0.088150	-0.088217	-0.087391	-0.251023	-7.049422	2.403145	-0.423729	-7.843137	2.553191
regexp	interp	0.011788	0.010737	0.017219	1.093866	-1.841802	4.131066	1.470588	-1.428571	4.411765
regexp	jit	0.010819	0.005710	0.015380	1.264825	-0.689779	2.562759	0.000000	0.000000	2.985075
simple_parquet_reader	interp	1.045723	1.044621	1.125458	1.347583	-0.149556	2.076851	1.058201	-0.259067	1.600000
simple_parquet_reader	jit	2.340520	2.294520	2.343127	0.747145	-0.847626	3.142758	0.700935	-0.921659	2.823529
str_concat	interp	0.605888	0.592066	0.610703	1.534783	0.636197	5.481964	0.000000	-50.000000	100.000000
str_concat	jit	0.084069	0.063050	0.122128	0.994059	-2.008698	3.093891	0.000000	0.000000	0.000000
str_find	interp	0.127361	-0.141927	0.601152	-8.673265	-11.115290	-0.349238	-8.783784	-11.182109	-0.348432
str_find	jit	0.386172	0.033204	0.563809	-10.822156	-11.202133	-0.768473	-9.863946	-11.525424	-0.349650
str_index	interp	0.749960	0.748279	0.751902	0.065621	-1.627347	1.886328	0.000000	-1.694915	1.724138
str_index	jit	-0.202810	-0.204548	-0.200875	4.051982	-5.838181	5.870220	4.081633	-5.454545	6.250000
table_compare	interp	-0.312823	-0.368229	-0.266999	-0.584450	-4.628533	1.087535	-0.821127	-7.154572	4.443953
table_compare	jit	0.476167	0.434138	0.506575	-0.624965	-2.988795	0.252154	-1.300132	-2.218318	-0.507614
table_compare2	interp	-0.310067	-0.322723	-0.270206	1.155783	-0.897293	5.401612	-0.130378	-1.404853	3.129074
