scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,main,3399889454,1054866183,255
json_write,1,current,3487712249,1067701134,259
json_write,2,current,3487683398,1079953029,259
json_write,2,main,3399857414,1034308819,252
json_write,3,main,3399926430,1027607403,250
json_write,3,current,3487753746,1110931807,271
json_write,4,current,3487726440,1087200276,263
json_write,4,main,3399920788,1036589192,253
json_write,5,main,3399867974,1034752729,252
json_write,5,current,3487827987,1082925793,261
xml_parse,1,main,13568356271,4423516493,906
xml_parse,1,current,12539117129,4044552764,817
xml_parse,2,current,12539200989,4046002999,818
xml_parse,2,main,13567109463,4377812468,893
xml_parse,3,main,13568223660,4406672321,896
xml_parse,3,current,12539126749,4064421557,818
xml_parse,4,current,12539185693,4088956194,826
xml_parse,4,main,13568398264,4454409856,909
xml_parse,5,main,13568942931,4388638428,897
xml_parse,5,current,12539087193,4085184042,827
xml_write,1,main,4879605196,1481612016,349
xml_write,1,current,4027469250,1217686777,290
xml_write,2,current,4028202764,1210426187,291
xml_write,2,main,4879569878,1489353171,352
xml_write,3,main,4881376998,1487528878,352
xml_write,3,current,4028856323,1196324789,287
xml_write,4,current,4029619286,1206360999,289
xml_write,4,main,4878736163,1499339099,355
xml_write,5,main,4882367190,1494704351,352
xml_write,5,current,4027468205,1211306002,289
