scenario,pair,side,instructions,cycles
json_write,1,main,3399839810,1134189637
json_write,1,current,3487742743,1079447095
json_write,2,current,3487761635,1066458653
json_write,2,main,3399892476,1131135797
json_write,3,main,3400063020,1096264679
json_write,3,current,3487684585,1061182326
json_write,4,current,3487712194,1073824727
json_write,4,main,3399886038,1140833849
json_write,5,main,3399867043,1129035695
json_write,5,current,3487757072,1080231902
xml_parse,1,main,13567038154,4582033557
xml_parse,1,current,13785184128,4626877331
xml_parse,2,current,13787187966,4665317754
xml_parse,2,main,13569112071,4602188762
xml_parse,3,main,13566772912,4505364541
xml_parse,3,current,13788454701,4739832639
xml_parse,4,current,13788629678,4682448072
xml_parse,4,main,13566756221,4492009898
xml_parse,5,main,13568547963,4488241579
xml_parse,5,current,13787710989,4610939139
xml_write,1,main,4882788271,1505399392
xml_write,1,current,4900887761,1515371531
xml_write,2,current,4900960987,1500767044
xml_write,2,main,4881237329,1502164720
xml_write,3,main,4880395256,1499332654
xml_write,3,current,4903136382,1473789279
xml_write,4,current,4901842971,1497154677
xml_write,4,main,4878852497,1512919346
xml_write,5,main,4878648644,1500748656
xml_write,5,current,4903393740,1510507267
