scenario,pair,side,cycles,instructions
json_write,1,before,1166523851,3738181686
json_write,1,after,1128506177,3664725547
json_write,2,after,1116313655,3664793050
json_write,2,before,1165830977,3738221345
json_write,3,before,1174201890,3738164749
json_write,3,after,1116432156,3664758739
json_write,4,after,1135620558,3664850599
json_write,4,before,1182606696,3738162622
json_write,5,before,1163737811,3738178357
json_write,5,after,1111315645,3664724450
xml_parse,1,before,4607496563,14219499746
xml_parse,1,after,4546955429,14088543123
xml_parse,2,after,4496812882,14089871068
xml_parse,2,before,4581826687,14220982428
xml_parse,3,before,4610093819,14218628050
xml_parse,3,after,4649997239,14089230143
xml_parse,4,after,4507922682,14089972511
xml_parse,4,before,4642207161,14219262304
xml_parse,5,before,4617117747,14222369642
xml_parse,5,after,4603721947,14091034724
xml_write,1,before,1589865064,5167107068
xml_write,1,after,1526355040,5096428478
xml_write,2,after,1550794672,5094309621
xml_write,2,before,1593447165,5169415933
xml_write,3,before,1577149503,5165302998
xml_write,3,after,1545956435,5092240098
xml_write,4,after,1540191369,5093468914
xml_write,4,before,1580760615,5164509082
xml_write,5,before,1593822096,5166262722
xml_write,5,after,1565557892,5090912843
