scenario,pair,side,instructions,cycles
json_write,1,open,3593171878,1126803535
json_write,1,linked,3475095165,1077651322
json_write,2,linked,3475106705,1077177276
json_write,2,open,3593172098,1139089773
json_write,3,open,3593200113,1132797806
json_write,3,linked,3475115849,1072822758
json_write,4,linked,3475178198,1077497126
json_write,4,open,3593190207,1133319260
json_write,5,open,3593187612,1120306047
json_write,5,linked,3475102579,1067004026
xml_parse,1,open,13441652581,4769343856
xml_parse,1,linked,13265289606,4781375705
xml_parse,2,linked,13264451419,4750959339
xml_parse,2,open,13444048260,4751519579
xml_parse,3,open,13443216885,4746567975
xml_parse,3,linked,13262242705,4720489618
xml_parse,4,linked,13262945966,4975115439
xml_parse,4,open,13441156495,4791119668
xml_parse,5,open,13442907872,4736698963
xml_parse,5,linked,13262998419,4729653687
xml_write,1,open,4905780408,1596191636
xml_write,1,linked,4790998575,1520701747
xml_write,2,linked,4791092574,1517578118
xml_write,2,open,4906053371,1568555671
xml_write,3,open,4906872551,1575983572
xml_write,3,linked,4790577700,1523053423
xml_write,4,linked,4791510066,1517099091
xml_write,4,open,4908200947,1569615088
xml_write,5,open,4905940185,1592224658
xml_write,5,linked,4790617864,1517066864
