scenario,pair,side,instructions,cycles
json_write,1,baseline,3475095372,1079075135
json_write,1,candidate,3412717195,1080758150
json_write,2,candidate,3412743657,1072288215
json_write,2,baseline,3475132030,1088884592
json_write,3,baseline,3475106909,1074884025
json_write,3,candidate,3412716428,1070244005
json_write,4,candidate,3412776786,1064019812
json_write,4,baseline,3475160703,1086511343
json_write,5,baseline,3475089381,1080342035
json_write,5,candidate,3412694162,1074370079
xml_parse,1,baseline,13262491074,4741798030
xml_parse,1,candidate,13157362255,4644995574
xml_parse,2,candidate,13158363781,4665690825
xml_parse,2,baseline,13264961241,4773769778
xml_parse,3,baseline,13266333525,4808999156
xml_parse,3,candidate,13155814076,4704498330
xml_parse,4,candidate,13158448000,4712990466
xml_parse,4,baseline,13264138336,4737072018
xml_parse,5,baseline,13265843939,4774920795
xml_parse,5,candidate,13154958487,4855862862
xml_write,1,baseline,4790846653,1504614521
xml_write,1,candidate,4729516035,1496922114
xml_write,2,candidate,4729127047,1485466072
xml_write,2,baseline,4790545186,1524986977
xml_write,3,baseline,4793284542,1507233259
xml_write,3,candidate,4730081605,1522110490
xml_write,4,candidate,4734441542,1512996615
xml_write,4,baseline,4790925603,1539119998
xml_write,5,baseline,4794203894,1511810102
xml_write,5,candidate,4733762341,1503006830
