scenario,mode,pair,side,status,elapsed_ms,wall_seconds,instructions,cycles,control_sha256,files_sha256
background_jobs,plain,1,main,ok,5947.0,6.043177,367940922635,156991448099,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,plain,1,current,ok,6696.0,6.777853,395316474443,175273635202,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,plain,2,current,ok,6756.0,6.838204,395355218107,176609039521,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,plain,2,main,ok,5815.0,5.896865,367932365139,157706890557,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,plain,3,main,ok,5795.0,5.870678,367950198774,157030486468,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,plain,3,current,ok,6985.0,7.06727,395313560925,178476867526,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,1,main,ok,4916.0,4.999051,310271009731,132756019940,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,1,current,ok,5373.0,5.456103,330884327347,144137159479,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,2,current,ok,5339.0,5.421257,330885950054,143784878246,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,2,main,ok,4942.0,5.028292,310246588982,131922028038,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,3,main,ok,4933.0,5.015098,310263912999,132695070311,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
background_jobs,optimize,3,current,ok,5361.0,5.442308,330887286472,143026730168,85499dcb56d6254f6e8df0016a3e8fb3aaf0ff3c0a57d2c3e530156354b41e8e,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,1,main,ok,805.0,0.883731,1392562971,444614348,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,1,current,ok,606.0,0.684368,1400769817,449303556,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,2,current,ok,291.0,0.369596,1397643199,445123742,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,2,main,ok,321.0,0.398932,1389833703,446488880,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,3,main,ok,310.0,0.387089,1391621702,442425417,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,3,current,ok,335.0,0.414413,1398911399,445940855,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,4,current,ok,312.0,0.390205,1398690048,443257421,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,4,main,ok,313.0,0.391775,1390397921,441933267,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,5,main,ok,302.0,0.381361,1386897739,450563204,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,plain,5,current,ok,330.0,0.412051,1399738325,452875502,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,1,main,ok,1623.0,1.706929,1426102241,466876739,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,1,current,ok,1953.0,2.03443,1433880052,467147655,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,2,current,ok,1909.0,1.991743,1433365135,465146171,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,2,main,ok,1887.0,1.968184,1425346212,463673901,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,3,main,ok,1920.0,2.001514,1424967413,458277112,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
cbr_rates,optimize,3,current,ok,1913.0,1.996872,1437626845,465858838,66d9c3a94f0db7a8a5570f07b88008f146ef417582b752321328e33e197fa9c1,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
