scenario,mode,status,runs,main_median_ms,current_median_ms,elapsed_ms_delta_mean,elapsed_ms_delta_min,elapsed_ms_delta_max,instructions_delta_mean,instructions_delta_min,instructions_delta_max,cycles_delta_mean,cycles_delta_min,cycles_delta_max
background_jobs,plain,ok,6,5852.0,6973.0,19.26649656632069,16.36394214598049,22.27970339713743,7.440238446313045,7.4395186194640806,7.440672537045878,16.197757482217824,15.110402205461249,17.781380058594863
background_jobs,optimize,ok,6,4905.0,5778.0,18.35477222009332,15.559999999999995,22.317772317772324,6.650813393684563,6.642521685682978,6.661947610685992,16.07311419682366,15.06867307096118,17.931663676755093
bmp_rotate,plain,ok,10,200.0,218.0,8.02255102934649,0.9661835748792313,12.99999999999999,0.6652824836923621,0.6648298683621157,0.6657772417707264,8.726912004661326,2.47554104929244,13.19289535888366
bmp_rotate,optimize,ok,10,177.0,177.0,1.583321841269425,-0.5617977528089901,4.494382022471921,1.2795978444590306,1.2792500457299294,1.279873561215772,2.0006329271367296,0.9164180698967739,4.254454436534694
call_overhead,plain,ok,10,118.0,118.0,-0.46713517982637676,-4.878048780487809,3.3898305084745672,6.799116390659146,6.796748211491321,6.8001710261063275,-0.733673703978832,-4.768599542881368,2.0400978225622923
call_overhead,optimize,ok,10,121.0,119.0,-1.120000000000001,-5.600000000000005,0.8474576271186418,6.798584669828962,6.796824523736489,6.800024168242902,-0.49409196993974724,-5.000862792543148,0.7926113267975099
cbr_rates,plain,ok,10,288.0,292.0,59.8012903683665,-57.59233926128591,363.19444444444446,0.7792568524221899,0.27922267041389226,1.2542621544924915,1.0928747169160902,-0.5369717533782348,2.0974259148260233
cbr_rates,optimize,ok,10,1918.0,1913.0,5.924682130606718,-10.472801220132178,39.83918128654971,0.70186196436266,0.40847938324002353,0.9592518745447753,0.20872967612993287,-3.0378332224598625,1.8053112747882238
csv_write,plain,ok,6,933.0,1080.0,15.365107338222895,14.914163090128763,15.7556270096463,2.7151844928040645,2.7150771837161303,2.7153563235158718,15.754463017569197,15.216004157289786,16.100262405312392
csv_write,optimize,ok,6,664.0,674.0,1.4079362740855454,0.7473841554558991,1.8072289156626509,1.745562136991774,1.7453604589201532,1.7457231834511866,1.2880136359215106,0.3706617358943287,1.7541308253356647
csv_write_batched,plain,ok,6,46.0,49.0,6.5553157227532814,4.255319148936176,8.888888888888879,2.901884534399198,2.8985831537830187,2.905120985996934,9.461234774740028,8.293932249658308,10.46282501010638
csv_write_batched,optimize,ok,6,40.0,42.0,4.147383781530123,2.564102564102555,5.000000000000004,2.5813298461732894,2.5785635955674735,2.5833384096130008,3.727877773674959,1.8772242057471633,5.98023148830642
edata_writer,plain,ok,10,70.0,71.0,-1.0161938335851395,-5.333333333333334,2.857142857142847,1.1959109940933343,1.0433859279038282,1.303786419133246,0.8617986340105999,-2.5561035889428374,5.031244762535514
edata_writer,optimize,ok,10,70.0,72.0,-0.30769230769231104,-11.538461538461542,4.285714285714293,1.7213841885455272,1.6686159633837905,1.8476173587318456,1.5832163474042527,-0.15303810436994025,3.7601077402406036
empty_for,plain,ok,10,1.6,1.1,-30.333333333333332,-31.25,-26.66666666666666,-0.7985704009785022,-0.803666602011055,-0.7948406100225403,-17.241759690018302,-19.285777525750724,-15.97722434258616
empty_for,optimize,ok,10,1.5,1.1,-27.583333333333332,-33.333333333333336,-20.000000000000007,-0.7960259840510786,-0.7995619665015052,-0.7907584565780779,-15.503022751526121,-16.387762992749145,-14.71763417821579
goto_bench,plain,ok,10,471.0,502.0,6.140587583726691,3.99159663865547,7.036247334754808,4.297434139923899,4.297226494642414,4.29779276561042,6.428022595436862,4.275233844657866,7.562953953517115
goto_bench,optimize,ok,10,482.0,509.0,6.7346339902298435,4.53608247422681,8.008213552361386,4.297269429793706,4.297163464581244,4.297472786024992,7.097981895903294,5.9947236064555876,8.299093013370573
invoice_doc_generator,plain,ok,10,16556.0,16340.0,-0.7938063038971466,-1.6368688088910344,0.30195060088169523,0.05705321484176018,0.013041208002051441,0.21793475379690008,-0.6871529989931902,-1.4080952030900207,0.5546710689158019
