scenario,runtime,run,status,elapsed_ms,wall_seconds
background_jobs,lua,,unavailable,,
background_jobs,luajit,,unavailable,,
background_jobs,python,,unavailable,,
background_jobs,oscript,1,exit=1,,0.27059801400173455
bmp_rotate,lua,1,ok,105.616,0.12251230597030371
bmp_rotate,lua,2,ok,103.785,0.119353414978832
bmp_rotate,lua,3,ok,102.777,0.11853157007135451
bmp_rotate,lua,4,ok,102.55,0.1187396110035479
bmp_rotate,lua,5,ok,105.479,0.12217843404505402
bmp_rotate,luajit,1,ok,36.474,0.04200789297465235
bmp_rotate,luajit,2,ok,36.51,0.041841501952148974
bmp_rotate,luajit,3,ok,34.481,0.039558646036311984
bmp_rotate,luajit,4,ok,34.882,0.03999715996906161
bmp_rotate,luajit,5,ok,33.865,0.03880402201320976
bmp_rotate,python,1,ok,165.319,0.28763897996395826
bmp_rotate,python,2,ok,156.926,0.27590011106804013
bmp_rotate,python,3,ok,158.237,0.2795636049704626
bmp_rotate,python,4,ok,166.392,0.2875635999953374
bmp_rotate,python,5,ok,161.565,0.2824257439933717
bmp_rotate,oscript,1,exit=1,,0.7764018549351022
call_overhead,lua,1,ok,21.0,0.022644781973212957
call_overhead,lua,2,ok,19.0,0.020569478045217693
call_overhead,lua,3,ok,21.0,0.02214801893569529
call_overhead,lua,4,ok,19.0,0.02054609905462712
call_overhead,lua,5,ok,20.0,0.02147560496814549
call_overhead,luajit,1,ok,1.0,0.0017057020450010896
call_overhead,luajit,2,ok,1.0,0.0015756799839437008
call_overhead,luajit,3,ok,1.0,0.0015806410228833556
call_overhead,luajit,4,ok,1.0,0.001578490948304534
call_overhead,luajit,5,ok,1.0,0.0015738510992377996
call_overhead,python,1,ok,81.931,0.09626800997648388
call_overhead,python,2,ok,83.733,0.09680116293020546
call_overhead,python,3,ok,83.059,0.09606547805014998
call_overhead,python,4,ok,84.293,0.0971866260515526
call_overhead,python,5,ok,88.54,0.10218197898939252
call_overhead,oscript,1,ok,646.0,0.8720126600237563
call_overhead,oscript,2,ok,666.0,0.8941215290687978
call_overhead,oscript,3,ok,654.0,0.9086375480983406
call_overhead,oscript,4,ok,662.0,0.9128734059631824
call_overhead,oscript,5,ok,658.0,0.9109173129545525
cbr_rates,lua,1,ok,326.945,0.33616850804537535
cbr_rates,lua,2,ok,313.57,0.318185725947842
cbr_rates,lua,3,ok,315.862,0.3201957989949733
cbr_rates,lua,4,ok,321.427,0.3261350989341736
cbr_rates,lua,5,ok,325.433,0.3300786450272426
cbr_rates,luajit,1,exit=1,,0.00324578199069947
cbr_rates,python,1,ok,307.548,0.3595302449539304
cbr_rates,python,2,ok,298.143,0.3489924529567361
cbr_rates,python,3,ok,260.069,0.30892505298834294
cbr_rates,python,4,ok,283.667,0.3336411900818348
cbr_rates,python,5,ok,1150.871,1.1970645629335195
cbr_rates,oscript,1,exit=1,,0.21560640400275588
csv_write,lua,1,ok,585.0,0.5900628389790654
csv_write,lua,2,ok,572.0,0.5767532400786877
csv_write,lua,3,ok,584.0,0.5884328481042758
csv_write,luajit,1,ok,78.0,0.07968012802302837
csv_write,luajit,2,ok,79.0,0.08100769598968327
