scenario	pair	order	instructions_a	instructions_b	delta_instructions_percent	cycles_a	cycles_b	delta_cycles_percent	load1_before_a	load1_before_b	start_a_utc	start_b_utc
call_overhead	1	AB	1921071317	1924017318	0.153352	644719121	651971726	1.124925	1.43	1.43	2026-09-07T16:54:14.857Z	2026-09-07T16:54:15.428Z
call_overhead	2	BA	1921023951	1924096765	0.159957	649469637	677970514	4.388331	1.43	1.43	2026-09-07T16:54:16.342Z	2026-09-07T16:54:15.877Z
call_overhead	3	AB	1921050289	1924062883	0.156820	646601619	652359223	0.890441	1.43	1.43	2026-09-07T16:54:16.787Z	2026-09-07T16:54:17.235Z
call_overhead	4	BA	1921097440	1924012775	0.151754	643455878	655017594	1.796816	1.48	1.43	2026-09-07T16:54:18.137Z	2026-09-07T16:54:17.685Z
call_overhead	5	AB	1921032986	1924109877	0.160169	654315671	652095124	-0.339369	1.48	1.48	2026-09-07T16:54:18.582Z	2026-09-07T16:54:19.034Z
call_overhead	6	BA	1921012520	1924056530	0.158459	672003609	671845112	-0.023586	1.48	1.48	2026-09-07T16:54:19.940Z	2026-09-07T16:54:19.481Z
call_overhead	7	AB	1921026765	1924089354	0.159425	643887689	671546709	4.295628	1.48	1.48	2026-09-07T16:54:20.400Z	2026-09-07T16:54:20.845Z
pi_leibniz	1	AB	2778941158	2764942135	-0.503754	1167248019	1155874539	-0.974384	1.31	1.31	2026-09-07T16:54:52.918Z	2026-09-07T16:54:53.701Z
pi_leibniz	2	BA	2778880191	2764927342	-0.502103	1164355117	1157715669	-0.570225	1.31	1.31	2026-09-07T16:54:55.252Z	2026-09-07T16:54:54.470Z
pi_leibniz	3	AB	2778862030	2764869673	-0.503528	1178383446	1154183139	-2.053687	1.31	1.31	2026-09-07T16:54:56.029Z	2026-09-07T16:54:56.818Z
pi_leibniz	4	BA	2778862148	2764860013	-0.503880	1215582665	1146552958	-5.678734	1.37	1.31	2026-09-07T16:54:58.351Z	2026-09-07T16:54:57.587Z
pi_leibniz	5	AB	2778949001	2764876714	-0.506389	1174338852	1160229084	-1.201507	1.37	1.37	2026-09-07T16:54:59.162Z	2026-09-07T16:54:59.946Z
pi_leibniz	6	BA	2778857117	2764935335	-0.500989	1198668877	1210816494	1.013426	1.37	1.37	2026-09-07T16:55:01.529Z	2026-09-07T16:55:00.717Z
pi_leibniz	7	AB	2778878901	2764857771	-0.504561	1183677103	1159909784	-2.007923	1.37	1.42	2026-09-07T16:55:02.326Z	2026-09-07T16:55:03.120Z
bmp_rotate	1	AB	3668988527	3644581478	-0.665226	1446572788	1435046347	-0.796810	1.42	1.42	2026-09-07T16:55:05.998Z	2026-09-07T16:55:06.960Z
bmp_rotate	2	BA	3669066931	3644499893	-0.669572	1450036466	1492142465	2.903789	1.39	1.42	2026-09-07T16:55:08.896Z	2026-09-07T16:55:07.910Z
bmp_rotate	3	AB	3668987829	3644497245	-0.667502	1437082783	1559059944	8.487831	1.39	1.39	2026-09-07T16:55:09.855Z	2026-09-07T16:55:10.806Z
bmp_rotate	4	BA	3668988608	3644543091	-0.666274	1564708181	1523298947	-2.646451	1.39	1.39	2026-09-07T16:55:12.881Z	2026-09-07T16:55:11.853Z
bmp_rotate	5	AB	3668994636	3644563435	-0.665883	1528748687	1472154576	-3.701989	1.43	1.43	2026-09-07T16:55:13.932Z	2026-09-07T16:55:14.959Z
bmp_rotate	6	BA	3668990294	3644499809	-0.667499	1527351316	1493548365	-2.213175	1.43	1.43	2026-09-07T16:55:16.959Z	2026-09-07T16:55:15.947Z
bmp_rotate	7	AB	3668994677	3644499830	-0.667617	1536610947	1470291891	-4.315930	1.48	1.48	2026-09-07T16:55:17.987Z	2026-09-07T16:55:19.035Z
json_write	1	AB	3307603799	3271273424	-1.098390	1432427760	1427986411	-0.310057	1.48	1.45	2026-09-07T16:55:22.058Z	2026-09-07T16:55:53.059Z
json_write	2	BA	3307596133	3277274236	-0.916735	1518486914	1382829451	-8.933726	1.45	1.45	2026-09-07T16:55:55.022Z	2026-09-07T16:55:54.065Z
json_write	3	AB	3313691790	3277300659	-1.098205	1460740771	1408456710	-3.579284	1.45	1.45	2026-09-07T16:55:56.071Z	2026-09-07T16:55:57.090Z
json_write	4	BA	3307669642	3271444223	-1.095195	1430629323	1403155049	-1.920433	1.41	1.41	2026-09-07T16:55:59.065Z	2026-09-07T16:55:58.082Z
json_write	5	AB	3314002922	3271165386	-1.292622	1426467281	1390797744	-2.500551	1.41	1.41	2026-09-07T16:56:00.062Z	2026-09-07T16:56:01.050Z
json_write	6	BA	3309645305	3271142554	-1.163350	1438381340	1385314803	-3.689323	1.38	1.41	2026-09-07T16:56:02.978Z	2026-09-07T16:56:02.012Z
json_write	7	AB	3307935154	3271469573	-1.102367	1511148854	1399191971	-7.408726	1.38	1.38	2026-09-07T16:56:03.977Z	2026-09-07T16:56:05.030Z
table_total	1	AB	880412397	877713382	-0.306563	345087051	333704434	-3.298477	1.38	1.38	2026-09-07T16:56:06.580Z	2026-09-07T16:56:06.857Z
table_total	2	BA	883330372	877822985	-0.623480	362179352	354581163	-2.097908	1.38	1.38	2026-09-07T16:56:07.388Z	2026-09-07T16:56:07.115Z
table_total	3	AB	880307410	877753189	-0.290151	350750928	344545498	-1.769184	1.38	1.43	2026-09-07T16:56:07.667Z	2026-09-07T16:56:07.936Z
table_total	4	BA	883313525	880741489	-0.291180	346942315	352326057	1.551769	1.43	1.43	2026-09-07T16:56:08.474Z	2026-09-07T16:56:08.201Z
table_total	5	AB	880371292	877759763	-0.296640	333397126	339344139	1.783763	1.43	1.43	2026-09-07T16:56:08.743Z	2026-09-07T16:56:09.004Z
table_total	6	BA	880368748	877708282	-0.302199	354862256	360495416	1.587422	1.43	1.43	2026-09-07T16:56:09.543Z	2026-09-07T16:56:09.265Z
table_total	7	AB	884912823	877705159	-0.814506	352951610	334331316	-5.275594	1.43	1.43	2026-09-07T16:56:09.813Z	2026-09-07T16:56:10.084Z
str_find	1	AB	4834095569	4822304051	-0.243924	1635974654	1668846743	2.009328	1.43	1.37	2026-09-07T16:56:12.516Z	2026-09-07T16:56:43.620Z
str_find	2	BA	4840939016	4834984217	-0.123009	1669188766	1694451539	1.513476	1.37	1.37	2026-09-07T16:56:45.881Z	2026-09-07T16:56:44.747Z
