scenario,mode,pair,side,ms,instructions
table_compare,plain,1,before,4576.0,54253113447
table_compare,plain,1,after,3137.0,47053599120
table_compare,plain,2,after,3091.0,47065813336
table_compare,plain,2,before,4499.0,54229278455
table_compare,plain,3,before,4539.0,54255219058
table_compare,plain,3,after,3112.0,47030975283
table_compare,optimize,1,before,4543.0,53632121603
table_compare,optimize,1,after,3081.0,46460735724
table_compare,optimize,2,after,3088.0,46451111772
table_compare,optimize,2,before,4481.0,53639791128
table_compare,optimize,3,before,4482.0,53631406413
table_compare,optimize,3,after,3161.0,46454885620
table_compare2,plain,1,before,799.0,35467306081
table_compare2,plain,1,after,806.0,35478287058
table_compare2,plain,2,after,853.0,35467894291
table_compare2,plain,2,before,804.0,35477791154
table_compare2,plain,3,before,787.0,35466533665
table_compare2,plain,3,after,805.0,35473835063
table_compare2,optimize,1,before,794.0,34597001452
table_compare2,optimize,1,after,779.0,34609003567
table_compare2,optimize,2,after,815.0,34597237757
table_compare2,optimize,2,before,850.0,34596631253
table_compare2,optimize,3,before,793.0,34603319622
table_compare2,optimize,3,after,776.0,34605227808
table_save_load,plain,1,before,1329.0,40316149707
table_save_load,plain,1,after,1394.0,40317682886
table_save_load,plain,2,after,1357.0,40316031746
table_save_load,plain,2,before,1355.0,40319108225
table_save_load,plain,3,before,1372.0,40315686348
table_save_load,plain,3,after,1394.0,40315551774
table_save_load,optimize,1,before,1370.0,39889341835
table_save_load,optimize,1,after,1364.0,39892389546
table_save_load,optimize,2,after,1357.0,39890348951
table_save_load,optimize,2,before,1372.0,39892523228
table_save_load,optimize,3,before,1377.0,39889228528
table_save_load,optimize,3,after,1363.0,39897555865
