scenario,mode,pair,side,ms,instructions
table_compare,plain,1,before,3215.0,47065436603
table_compare,plain,1,after,3301.0,47068680877
table_compare,plain,2,after,3256.0,47055155871
table_compare,plain,2,before,3243.0,47045277479
table_compare,plain,3,before,3228.0,47037504695
table_compare,plain,3,after,3197.0,47036368149
table_compare,optimize,1,before,3243.0,46477432042
table_compare,optimize,1,after,3300.0,46455215657
table_compare,optimize,2,after,3318.0,46457634886
table_compare,optimize,2,before,3198.0,46445466868
table_compare,optimize,3,before,3180.0,46452792667
table_compare,optimize,3,after,3206.0,46446745031
table_compare2,plain,1,before,796.0,35497267662
table_compare2,plain,1,after,801.0,35497409241
table_compare2,plain,2,after,792.0,35497625046
table_compare2,plain,2,before,852.0,35501597600
table_compare2,plain,3,before,849.0,35498396992
table_compare2,plain,3,after,807.0,35497412549
table_compare2,optimize,1,before,790.0,34641534336
table_compare2,optimize,1,after,816.0,34641557573
table_compare2,optimize,2,after,788.0,34628629994
table_compare2,optimize,2,before,771.0,34629372169
table_compare2,optimize,3,before,785.0,34628325456
table_compare2,optimize,3,after,811.0,34642743823
table_save_load,plain,1,before,1324.0,39482758233
table_save_load,plain,1,after,1322.0,40472563557
table_save_load,plain,2,after,1333.0,40471245559
table_save_load,plain,2,before,1357.0,39482976493
table_save_load,plain,3,before,1336.0,39483125732
table_save_load,plain,3,after,1316.0,40471635387
table_save_load,optimize,1,before,1360.0,39056555704
table_save_load,optimize,1,after,1353.0,40052801837
table_save_load,optimize,2,after,1341.0,40043767970
table_save_load,optimize,2,before,1340.0,39056392376
table_save_load,optimize,3,before,1359.0,39056589824
table_save_load,optimize,3,after,1304.0,40047012012
