scenario,mode,pair,side,ms,instructions
table_compare,plain,1,before,3004.0,47026757933
table_compare,plain,1,after,3071.0,47071060618
table_compare,plain,2,after,3063.0,47059132092
table_compare,plain,2,before,3055.0,47046898790
table_compare,plain,3,before,3122.0,47051590296
table_compare,plain,3,after,3184.0,47065873969
table_compare,optimize,1,before,2991.0,46450324995
table_compare,optimize,1,after,3070.0,46457423862
table_compare,optimize,2,after,3062.0,46456807444
table_compare,optimize,2,before,3051.0,46461112705
table_compare,optimize,3,before,2997.0,46439514963
table_compare,optimize,3,after,3047.0,46456636321
table_compare2,plain,1,before,786.0,35476438974
table_compare2,plain,1,after,800.0,35505997135
table_compare2,plain,2,after,788.0,35506480523
table_compare2,plain,2,before,794.0,35484152303
table_compare2,plain,3,before,780.0,35465808619
table_compare2,plain,3,after,772.0,35509801448
table_compare2,optimize,1,before,784.0,34600540308
table_compare2,optimize,1,after,791.0,34632204993
table_compare2,optimize,2,after,772.0,34629511677
table_compare2,optimize,2,before,780.0,34610538434
table_compare2,optimize,3,before,766.0,34600854425
table_compare2,optimize,3,after,771.0,34629846015
table_save_load,plain,1,before,1333.0,40315730720
table_save_load,plain,1,after,1319.0,39483008683
table_save_load,plain,2,after,1320.0,39490703655
table_save_load,plain,2,before,1325.0,40315974349
table_save_load,plain,3,before,1334.0,40316890405
table_save_load,plain,3,after,1341.0,39484605839
table_save_load,optimize,1,before,1358.0,39889199910
table_save_load,optimize,1,after,1341.0,39057475122
table_save_load,optimize,2,after,1331.0,39059178962
table_save_load,optimize,2,before,1337.0,39894655898
table_save_load,optimize,3,before,1340.0,39898687725
table_save_load,optimize,3,after,1341.0,39056357854
