scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412712058,1086273392,262
json_write,1,after,3412807739,1041263587,251
json_write,2,after,3412931816,1053217004,255
json_write,2,before,3412704320,1061057381,261
json_write,3,before,3412741035,1064862209,259
json_write,3,after,3412795624,1051050098,257
json_write,4,after,3412709097,1049444466,256
json_write,4,before,3412729823,1057501565,261
json_write,5,before,3412736177,1069005868,260
json_write,5,after,3412843099,1060723833,256
xml_parse,1,before,12348470303,4309547689,897
xml_parse,1,after,12336952740,4379132363,911
xml_parse,2,after,12336958056,4338933228,906
xml_parse,2,before,12348476976,4287703321,896
xml_parse,3,before,12348431375,4354407867,910
xml_parse,3,after,12337637840,4294650392,895
xml_parse,4,after,12336974777,4382264676,912
xml_parse,4,before,12348424499,4281200147,891
xml_parse,5,before,12348421577,4384778499,914
xml_parse,5,after,12336926117,4372594035,914
xml_write,1,before,3894428912,1198032338,290
xml_write,1,after,3894392546,1247250718,304
xml_write,2,after,3894409110,1216867076,298
xml_write,2,before,3893718465,1229343396,296
xml_write,3,before,3893786190,1205885998,293
xml_write,3,after,3893698321,1266268307,305
xml_write,4,after,3895087935,1235463348,296
xml_write,4,before,3894430043,1227316242,296
xml_write,5,before,3895113276,1234148740,298
xml_write,5,after,3895103166,1219551815,293
