scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412710957,1063929094,256
json_write,1,after,3412758723,1060575203,255
json_write,2,after,3412761798,1053829018,253
json_write,2,before,3412731121,1080059394,262
json_write,3,before,3412712925,1062206129,257
json_write,3,after,3412731926,1050681056,253
json_write,4,after,3412728928,1038016336,255
json_write,4,before,3412699024,1074824762,260
json_write,5,before,3412706213,1084261560,262
json_write,5,after,3412788103,1050322489,253
xml_parse,1,before,12349098881,4282313605,883
xml_parse,1,after,12330149632,4290660520,889
xml_parse,2,after,12330021984,4420288292,915
xml_parse,2,before,12348465164,4254856753,878
xml_parse,3,before,12349187227,4265505795,881
xml_parse,3,after,12330064444,4378801981,906
xml_parse,4,after,12330031078,4360814379,902
xml_parse,4,before,12348467891,4227423260,874
xml_parse,5,before,12348450282,4273405017,883
xml_parse,5,after,12330124424,4310434671,891
xml_write,1,before,3894410933,1246841373,298
xml_write,1,after,3895129725,1221721065,291
xml_write,2,after,3895824320,1217220028,291
xml_write,2,before,3895103381,1220504865,291
xml_write,3,before,3895819154,1220100430,293
xml_write,3,after,3894410638,1223730965,294
xml_write,4,after,3893706935,1213183013,288
xml_write,4,before,3894401558,1203881615,287
xml_write,5,before,3895271543,1225688992,290
xml_write,5,after,3895106094,1203858062,287
