scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412765537,1062497142,257
json_write,1,after,3412721206,1056181549,256
json_write,2,after,3412702286,1047391044,252
json_write,2,before,3412730583,1065800643,257
json_write,3,before,3412758491,1068103937,258
json_write,3,after,3412707772,1051111405,252
json_write,4,after,3412707229,1037927598,251
json_write,4,before,3412698549,1059499805,256
json_write,5,before,3412716057,1055936486,256
json_write,5,after,3412708648,1048875445,255
xml_parse,1,before,12489126037,4434167482,922
xml_parse,1,after,12463153926,4344788908,914
xml_parse,2,after,12462405463,4294573511,892
xml_parse,2,before,12489874322,4342694658,899
xml_parse,3,before,12489913941,4409260595,920
xml_parse,3,after,12462169392,4331983777,906
xml_parse,4,after,12462535937,4347696165,902
xml_parse,4,before,12490166891,4389837720,915
xml_parse,5,before,12489925875,4417252435,921
xml_parse,5,after,12462998892,4253789845,886
xml_write,1,before,3895127361,1287289334,308
xml_write,1,after,3894415345,1218044032,296
xml_write,2,after,3895134554,1224277930,294
xml_write,2,before,3893729250,1256270118,303
xml_write,3,before,3894429752,1270992604,307
xml_write,3,after,3894452760,1237954103,299
xml_write,4,after,3895110800,1213533751,290
xml_write,4,before,3894425769,1274350346,304
xml_write,5,before,3894435058,1268301026,303
xml_write,5,after,3894481955,1228940074,294
