scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412803313,1064039592,263
json_write,1,after,3412713745,1074263151,267
json_write,2,after,3412713455,1071735616,264
json_write,2,before,3412730126,1065475958,264
json_write,3,before,3412748379,1068678946,266
json_write,3,after,3412700909,1084266348,267
json_write,4,after,3412700445,1060890768,261
json_write,4,before,3412710544,1067873051,264
json_write,5,before,3412712400,1092113465,271
json_write,5,after,3412709090,1072691337,263
xml_parse,1,before,12462464996,4320585886,900
xml_parse,1,after,12356963701,4341621158,911
xml_parse,2,after,12356208678,4277099600,898
xml_parse,2,before,12462694849,4490286735,946
xml_parse,3,before,12462347920,4484713391,954
xml_parse,3,after,12357009385,4371053390,917
xml_parse,4,after,12356909838,4288764396,893
xml_parse,4,before,12462450469,4432546998,925
xml_parse,5,before,12462964894,4415923257,920
xml_parse,5,after,12356198022,4277530286,890
xml_write,1,before,3893830235,1213000707,292
xml_write,1,after,3894441292,1213964676,290
xml_write,2,after,3894389433,1201248357,293
xml_write,2,before,3894446553,1217903335,293
xml_write,3,before,3894395673,1212506720,296
xml_write,3,after,3894422965,1210315426,297
xml_write,4,after,3893705087,1203780702,294
xml_write,4,before,3895101170,1197162799,288
xml_write,5,before,3893753284,1227284933,303
xml_write,5,after,3894389037,1198297763,292
