scenario,pair,side,instructions,cycles,prepare_ms,parse_ms
json_write,1,before,3412728327,1072366195,0,258
json_write,1,after,3412705364,1069151495,0,260
json_write,2,after,3412721347,1058443272,0,257
json_write,2,before,3412787596,1100660357,0,266
json_write,3,before,3412716923,1075967084,0,262
json_write,3,after,3412787760,1049946062,0,253
json_write,4,after,3412723724,1053084413,0,255
json_write,4,before,3412713133,1082022639,0,261
json_write,5,before,3412697381,1080756755,0,258
json_write,5,after,3412718775,1079497601,0,263
xml_parse,1,before,12791485404,4517806534,104,936
xml_parse,1,after,12595309878,4433178058,99,924
xml_parse,2,after,12596269342,4456006804,104,927
xml_parse,2,before,12793025262,4590383582,102,952
xml_parse,3,before,12792149540,4557708017,102,942
xml_parse,3,after,12596896173,4387346102,98,912
xml_parse,4,after,12596316938,4446138647,100,927
xml_parse,4,before,12793234271,4545280520,103,944
xml_parse,5,before,12791563932,4551146572,103,947
xml_parse,5,after,12599425869,4432727468,102,925
xml_write,1,before,3895115932,1269483268,0,306
xml_write,1,after,3895802718,1218480889,0,295
xml_write,2,after,3895171195,1210496169,0,291
xml_write,2,before,3895177502,1253623542,0,302
xml_write,3,before,3894508555,1255193133,0,302
xml_write,3,after,3894399805,1198082276,0,291
xml_write,4,after,3893714341,1200522058,0,288
xml_write,4,before,3894435469,1233272195,0,297
xml_write,5,before,3893774225,1244898816,0,300
xml_write,5,after,3895122533,1190122546,0,290
