scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412755617,1097156374,270
json_write,1,after,3412733340,1067549193,261
json_write,2,after,3412697400,1060807707,260
json_write,2,before,3412702923,1064237579,260
json_write,3,before,3412720639,1071863161,260
json_write,3,after,3412709989,1059706342,258
json_write,4,after,3412705387,1109346405,272
json_write,4,before,3412740077,1070924072,261
json_write,5,before,3412802933,1072281122,265
json_write,5,after,3412715940,1076096310,260
xml_parse,1,before,12356223548,4453515165,936
xml_parse,1,after,12348510199,4370806371,919
xml_parse,2,after,12348406438,4436043437,926
xml_parse,2,before,12356358572,4363827934,907
xml_parse,3,before,12356276213,4320949758,898
xml_parse,3,after,12348444163,4439287632,928
xml_parse,4,after,12349108760,4397401410,920
xml_parse,4,before,12356242293,4437439561,928
xml_parse,5,before,12356253935,4400788544,920
xml_parse,5,after,12348407039,4545187878,955
xml_local_name,1,before,13354755773,4876171754,1021
xml_local_name,1,after,12420509200,4392842266,918
xml_local_name,2,after,12420469186,4420536782,920
xml_local_name,2,before,13361105406,4813760873,1003
xml_local_name,3,before,13351336812,4790453648,1006
xml_local_name,3,after,12420537917,4385087870,915
xml_local_name,4,after,12420494250,4355325146,904
xml_local_name,4,before,13358316897,4941326529,1038
xml_local_name,5,before,13354040631,4787401908,1001
xml_local_name,5,after,12420480659,4381926051,916
xml_write,1,before,3894511602,1229346241,297
xml_write,1,after,3894513156,1224657777,297
xml_write,2,after,3894431085,1227524126,294
xml_write,2,before,3893797720,1242608910,299
xml_write,3,before,3895154704,1218899800,297
xml_write,3,after,3894469309,1239843305,300
xml_write,4,after,3893716250,1443875668,340
xml_write,4,before,3894383213,1249017851,298
xml_write,5,before,3895099840,1235536584,299
xml_write,5,after,3894410929,1221470142,292
