scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412707448,1064787994,260
json_write,1,after,3412745282,1082372443,266
json_write,2,after,3412728867,1075646036,261
json_write,2,before,3412707036,1064147752,260
json_write,3,before,3412800054,1053845525,260
json_write,3,after,3412712642,1055303886,260
json_write,4,after,3412759763,1072649809,264
json_write,4,before,3412805757,1052744566,260
json_write,5,before,3412710399,1065510475,259
json_write,5,after,3412701527,1058601418,263
xml_parse,1,before,12337715797,4469348977,937
xml_parse,1,after,12408706843,4400975719,904
xml_parse,2,after,12408748679,4511124275,926
xml_parse,2,before,12337617760,4407318599,916
xml_parse,3,before,12336949740,4664936668,985
xml_parse,3,after,12408659365,4369702288,900
xml_parse,4,after,12408732061,4261094839,876
xml_parse,4,before,12336985369,4456197423,940
xml_parse,5,before,12345361859,4438992888,925
xml_parse,5,after,12408702442,4286986914,883
xml_write,1,before,3894422028,1199993948,288
xml_write,1,after,3893690670,1281264519,306
xml_write,2,after,3893737200,1233033262,297
xml_write,2,before,3895175277,1235654632,296
xml_write,3,before,3894411392,1282416051,306
xml_write,3,after,3895827251,1214437079,290
xml_write,4,after,3895089147,1207404984,289
xml_write,4,before,3893717346,1221702287,290
xml_write,5,before,3895821208,1207804547,291
xml_write,5,after,3895119563,1216851149,293
