scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412718534,1066972822,265
json_write,1,after,3412739490,1058400503,260
json_write,2,after,3412756668,1058140824,258
json_write,2,before,3412701614,1082944285,264
json_write,3,before,3412713492,1074791473,263
json_write,3,after,3412700829,1060136105,259
json_write,4,after,3412727794,1049471204,257
json_write,4,before,3412800638,1062145242,257
json_write,5,before,3412695397,1077176779,266
json_write,5,after,3412702195,1065710431,260
xml_parse,1,before,12594054704,4505559221,946
xml_parse,1,after,12490920088,4363536056,910
xml_parse,2,after,12490929427,4382209145,916
xml_parse,2,before,12595116620,4495324641,942
xml_parse,3,before,12594571140,4475738449,930
xml_parse,3,after,12489760810,4356914311,908
xml_parse,4,after,12489652897,4359244358,907
xml_parse,4,before,12594724688,4525533554,949
xml_parse,5,before,12592869129,4553336133,958
xml_parse,5,after,12489797869,4321662105,903
xml_write,1,before,3894483141,1246168232,300
xml_write,1,after,3893710181,1203692183,290
xml_write,2,after,3894429842,1204806136,289
xml_write,2,before,3894515832,1246192956,299
xml_write,3,before,3893810491,1232209442,295
xml_write,3,after,3895979748,1201052219,288
xml_write,4,after,3895117263,1234346548,295
xml_write,4,before,3895147683,1234316154,296
xml_write,5,before,3893695485,1230006297,298
xml_write,5,after,3895152782,1235994603,297
