scenario,pair,side,instructions,cycles,elapsed_ms
json_write,1,before,3412722834,1059036675,256
json_write,1,after,3412708158,1064413244,256
json_write,2,after,3412707256,1043229602,252
json_write,2,before,3412948943,1051541353,253
json_write,3,before,3412716226,1100564977,264
json_write,3,after,3412736260,1050848960,252
json_write,4,after,3412704284,1061024410,256
json_write,4,before,3412728335,1057950744,254
json_write,5,before,3412719343,1053601864,255
json_write,5,after,3412706690,1065422221,258
xml_parse,1,before,12408726798,4402635049,899
xml_parse,1,after,11951473941,4243792574,857
xml_parse,2,after,11950768184,4210618035,850
xml_parse,2,before,12408705710,4326653803,884
xml_parse,3,before,12408765012,4248099974,868
xml_parse,3,after,11950816890,4172357595,846
xml_parse,4,after,11951493770,4246684454,856
xml_parse,4,before,12410138453,4264317108,871
xml_parse,5,before,12409413914,4300532351,877
xml_parse,5,after,11951481855,4387838956,887
xml_write,1,before,3894456107,1207974280,288
xml_write,1,after,3895163007,1200648257,286
xml_write,2,after,3895116122,1205398665,286
xml_write,2,before,3893685263,1321193215,319
xml_write,3,before,3894395933,1230360156,292
xml_write,3,after,3895098748,1211105997,291
xml_write,4,after,3895116791,1217996722,290
xml_write,4,before,3895825629,1224783795,294
xml_write,5,before,3895104418,1229185455,292
xml_write,5,after,3894503386,1211868750,290
