scenario,pair,side,instructions,cycles
json_write,1,before,3412739471,1068371314
json_write,1,after,3412715737,1074819816
json_write,2,after,3412705161,1079713059
json_write,2,before,3412884132,1084454288
json_write,3,before,3412851044,1141760985
json_write,3,after,3412772837,1088847750
json_write,4,after,3412756258,1086430993
json_write,4,before,3412721297,1062503085
json_write,5,before,3412791406,1072422216
json_write,5,after,3412700792,1090050807
xml_parse,1,before,13067616572,4653611526
xml_parse,1,after,13001524292,4817569078
xml_parse,2,after,13001605308,4736764421
xml_parse,2,before,13072658108,4696766183
xml_parse,3,before,13069001122,4672788895
xml_parse,3,after,13001556691,5490568923
xml_parse,4,after,13002328167,4797498169
xml_parse,4,before,13068810815,4657489748
xml_parse,5,before,13072159957,4662011635
xml_parse,5,after,13001831735,4708856615
xml_write,1,before,4730485447,1545851145
xml_write,1,after,3895816004,1236842395
xml_write,2,after,3894514472,1242551913
xml_write,2,before,4729427594,1553267102
xml_write,3,before,4730664549,1552717885
xml_write,3,after,3895232214,1239599088
xml_write,4,after,3894585484,1236824308
xml_write,4,before,4730970321,1536610493
xml_write,5,before,4731163011,1621437567
xml_write,5,after,3895986460,1261469814
