scenario,pair,side,instructions,cycles
json_write,1,before,3412745775,1069116276
json_write,1,after,3412733600,1094239212
json_write,2,after,3412710364,1136959903
json_write,2,before,3412831207,1127220689
json_write,3,before,3412713407,1071579253
json_write,3,after,3412704353,1080649903
json_write,4,after,3412714325,1068061355
json_write,4,before,3412705655,1088420269
json_write,5,before,3412729819,1053188475
json_write,5,after,3412708471,1077162217
xml_parse,1,before,13071711824,4581405829
xml_parse,1,after,12791468639,4747067787
xml_parse,2,after,12790728639,4748120004
xml_parse,2,before,13069767648,4604604298
xml_parse,3,before,13072728688,4586195374
xml_parse,3,after,12791042109,4781570538
xml_parse,4,after,12790766595,4783465547
xml_parse,4,before,13071560461,4544036001
xml_parse,5,before,13068860530,4659429996
xml_parse,5,after,12790716984,4776521216
xml_write,1,before,4731454701,1533858900
xml_write,1,after,3893700928,1223681090
xml_write,2,after,3894420882,1228737422
xml_write,2,before,4730857745,1520698742
xml_write,3,before,4730443673,1521837478
xml_write,3,after,3895907597,1214575226
xml_write,4,after,3893685533,1207967610
xml_write,4,before,4729847833,1565899475
xml_write,5,before,4730208988,1532541342
xml_write,5,after,3895115978,1225803815
